****************************************************************************************************************************************************
**                                                                                                                                                **
** CMG TimeSeries Property Names                                                                                                                  **
** Replace the string '$C' by actual component name                                                                                               **
**                                                                                                                                                **
** File Generated: 08/23/2018 06:01:52 PM                                                                                                         **
**                                                                                                                                                **
****************************************************************************************************************************************************

NAME                                                            DESCRIPTION
DTWPRD                                                          CSS groups - production starting TS
dummy entry                                                     dummy entry
Elapsed Sec Cum                                                 Elapsed secs from start of run
Elapsed Sec Rate                                                Elapsed secs per simulation time
Elect. Boundary Flag                                            Electrical Boundary Type Flag
Elect. Boundary Potential                                       Electrical Boundary Potential
Elect. Boundary Potential Im.                                   Electrical Boundary Potential Imaginary
Elect. Layer Flow Target                                        Electrical Layer Boundary Flow Target
Elect. Layer Flow Target Im.                                    Electrical Layer Boundary Flow Target Imaginary
Electrical Heat Cum SCTR                                        Electrical Heat cumulative per sector
Electrical Heat Rate SCTR                                       Electrical heat rate per sector
Electrical Resistance                                           Electrical Resistance
Energy                                                          Energy
Energy In Place SCTR                                            Internal energy in place per sector
EnergyRate                                                      Energy Rate
ENTHALPY                                                        SAM Enthalpy
Enthalpy In Place SCTR                                          Enthalpy in place per sector
Enthalpy Inje Cum SCTR                                          Enthalpy injection cumulative per sector
Enthalpy Inje Rate SCTR                                         Enthalpy injection rate per sector
Enthalpy Prod Cum SCTR                                          Enthalpy production cumulative per sector
Enthalpy Prod Rate SCTR                                         Enthalpy production rate per sector
ENTMIN                                                          Min Enthalpy - SAM, TABLE
Extended layer I address list                                   Extended layer I address list
Extended layer J address list                                   Extended layer J address list
Extended layer K address list                                   Extended layer K address list
ff for each well                                                ff for each well
Field cum sfc inj                                               IMEX Field Cum Surface Injection
Field cum sfc prod                                              IMEX Field Cum Surface Production
Field gas recovery %                                            Field gas recovery percentage
Field INL recovery %                                            Field INL recovery percentage
Field oil recovery %                                            Field oil recovery percentage
first node number in the next level -1                          first node number in the next level -1
Fixed target flag for group apportionment                       Fixed target flag for group apportionment
flag for apportionment method                                   flag for apportionment method
Flag for calcu. well prod/injec index                           Flag for calcu. well prod/injec index
Flag for groups whose priority formulae are defined             Flag for groups whose priority formulae are defined
flag for guide rate injection                                   flag for guide rate injection
flag for guide rate production                                  flag for guide rate production
Flag for QO or QLIQ                                             Flag for QO or QLIQ
Flag for QO, QLIQ or WATER_GAS                                  Flag for QO, QLIQ or WATER_GAS
Flag for quadr. inflow                                          Flag for quadr. inflow
Flag for shutting backflowing layers.                           Flag for shutting backflowing layers.
Flag for turb skin                                              Flag for turb skin
Flag for turb. skin and quad. inflow                            Flag for turb. skin and quad. inflow
Flag indicating gas-lift on                                     Flag indicating gas-lift on
Flag indicating gas-lift optimization                           Flag indicating gas-lift optimization
Flag: well is operating at maximum rate                         Flag: well is operating at maximum rate
Flex well name                                                  Flexible Wellbore Name
FLEX WELLBORE - Number of connections                           FLEX WELLBORE - Number of connections
Flex_well - casing conductivity                                 Flex_well - casing conductivity
Flex_well - casing cp                                           Flex_well - casing cp
Flex_well - casing radius                                       Flex_well - casing radius
Flex_well - cement conductivity                                 Flex_well - cement conductivity
Flex_well - cement cp                                           Flex_well - cement cp
Flex_well - cement radius                                       Flex_well - cement radius
Flex_well - current WI                                          Flex_well - current WI
Flex_well - fcd diameter                                        Flex_well - fcd diameter
Flex_well - fcd disch. coeff                                    Flex_well - fcd discharge coefficient
Flex_well - FCD-Fric - area                                     Flex_well -  FCD-Fric - area
Flex_well - FCD-Fric - Friction coef-a1                         Flex_well -  FCD-Fric - Friction coef-a1
Flex_well - FCD-Fric - Friction coef-a2                         Flex_well -  FCD-Fric - Friction coef-a2
Flex_well - FCD-Fric - Friction coef-b1                         Flex_well -  FCD-Fric - Friction coef-b1
Flex_well - FCD-Fric - Friction coef-b2                         Flex_well -  FCD-Fric - Friction coef-b2
Flex_well - FCD-Fric - Friction coef-c                          Flex_well -  FCD-Fric - Friction coef-c
Flex_well - FCD-Fric - Friction coef-d                          Flex_well -  FCD-Fric - Friction coef-d
